Bad Lead,Company Name,Website,Career Link,Location,Driving Distance,Jace Notes,,
FALSE,6IXTH CITY MARKETING,https://www.sixthcitymarketing.com/,https://www.sixthcitymarketing.com/careers/,"35 E Gay St, #324, Columbus, OH",,,,
TRUE,Smith Commerce,https://smithcommerce.com/,https://smithcommerce.com/about/careers/,"555 Edgar Waldo Way Suite 401, Columbus, OH 43215",,,,
FALSE,Kow Abundant,https://kowabundant.com/,https://kowabundant.com/columbus-marketing-jobs/,"1071 Fishinger Road STE 109, Columbus, Ohio 43221",,,,
FALSE,Third Street Digital,https://thirdstreetdigital.com/,https://thirdstreetdigital.com/good-jobs/,"15 W Cherry St #401, Columbus, OH 43215",,,,
FALSE,Fuego Leads,https://fuegoleads.io/,https://fuegoleads.io/careers-page/,"243 N 5th St, Columbus, OH 43215",,,,
FALSE,Mindstream Interactive,https://www.fahlgrenmortine.com/,https://www.fahlgrenmortine.com/careers,"4030 Easton Station Suite 300, Columbus, OH 43219",,,,
FALSE,Postali LLC,https://www.postali.com/,https://www.postali.com/careers/,"274 Marconi Blvd, Ste 220, Columbus, OH 43215",,,,
FALSE,Post House Creative,https://posthouse.tv/,https://posthouse.tv/careers/,"52 E Lynn St, Columbus, OH 43215",,,,
FALSE,Rebel Marketing,https://myrebelmarketing.com/,https://myrebelmarketing.com/careers,Columbus,,,,
FALSE,ZoCo Design,https://zocodesign.com/,https://zocodesign.com/careers,"1027 W. 5th Ave, Columbus, OH 43212",,,,
FALSE,Emily Journey & Associates,https://emilyjourney.com/,https://emilyjourney.com/careers/,"1733 W Lane Ave Suite 20, Columbus, OH 43221",,,,
FALSE,Prestige Pro Media,https://prestigepromedia.com/,https://prestigepromedia.com/careers.html,"5 E Long St #601, Columbus, OH 43215",,,,
FALSE,Electric Eye,https://electriceye.io/,https://electriceye.io/pages/careers,"PO Box #2921 Columbus, OH 43216",,,,
FALSE,mywebWOW!,https://www.mywebwow.com/,https://www.mywebwow.com/careers/,"1156 Dublin Road STE 104, Columbus OH 43215",,,,
FALSE,SkySprout,https://skysprout.com/,https://skysprout.com/careers/,"2605 Northland Plaza Dr. Columbus, ohio 43231",,,,
FALSE,Upward Brand Interactions,https://www.goupward.com/,https://www.goupward.com/about/career.html,"772 N High St Suite 201, Columbus, OH 43215",,,,
FALSE,Blue Laser Digital,https://www.bluelaserdigital.com/,https://www.bluelaserdigital.com/about/#careers,"170 North Sunbury Road, Westerville, OH 43081",19 min,,,
FALSE,Werth,https://werthpr.com/,https://werthpr.com/careers/,"10 North High Street Suite 300, Columbus, OH 43215",,,,
FALSE,Hanson Inc.,https://www.hansoninc.com/,https://www.hansoninc.com/careers/,"629 N High St 4th floor, Columbus, OH 43215",,,,
FALSE,Northpeak,https://northpeak.io/,https://northpeak.io/careers/,"800 N High St, Columbus, OH 43215",,,,
FALSE,DOmedia LLC,https://www.domedia.com/,https://www.domedia.com/careers,"433 W State St suite 235, Columbus, OH 43215",,,,
FALSE,WillowTree,https://www.willowtreeapps.com/,https://www.willowtreeapps.com/careers/jobs,"274 Marconi Blvd #300, Columbus, OH 43215",,,,
FALSE,"Willan Technologies, LLC",https://willantech.com/,https://willantech.com/job-profiles,"6555 Busch Blvd, Suite 103, Columbus, OH 43229",,,,
FALSE,"Software Verde, LLC",https://www.softwareverde.com/,https://www.softwareverde.com/contact.html,"1822 Henderson Rd Columbus, OH 43220",,,,
FALSE,"Arnet Technologies, Inc.",https://arnettechnologies.com/,https://arnettechnologies.com/about-us/careers/,"445 Hutchinson Ave, Suite 575, Columbus, Ohio 43235",,,,
FALSE,"IntelliX Software, Inc",https://intellixsoftware.com/,https://intellixsoftware.com/careers,"134 Northwoods Blvd, Suite B-2 Columbus OH 43235",,,,
TRUE,Synapse Tech Services,https://www.synapsetechservice.com/,https://www.synapsetechservice.com/careers/,"4449 Easton Way #200, Columbus, OH 43219",,,,
FALSE,"Switchbox, Inc.",https://www.switchboxinc.com/,https://www.switchboxinc.com/careers/,"4500 Mobile Dr, Columbus, OH 43220",,,,
FALSE,GroupEleven Consulting,https://www.groupeleven.com/,https://www.groupeleven.com/careers,"480 Olde Worthington Road Suite 370, Westerville, OH 43082",19 min,,,
FALSE,maven,https://www.choosemaven.net/,https://www.choosemaven.net/careers/,"904 E. Broad St, Columbus, OH 43235",,,,
TRUE,"Columbus Technology Solutions, Inc.",https://columbustechsolutions.com/,https://columbustechsolutions.com/career.php,"545 Metro Place South, Suite 100 Dublin OH 43017",19 min,,,
FALSE,SkyNet,https://skynetmts.com/,https://skynetmts.com/careers/,"400 W. Wilson Bridge Rd. Worthington, OH 43085",16 min,,,
FALSE,United Software Group Inc,https://www.usgrpinc.com/,https://www.usgrpinc.com/career.php,"6000 Venture Dr,, Dublin, OH -43017",19 min,,,
FALSE,CapTech,https://www.captechconsulting.com/,https://www.captechconsulting.com/careers/current-openings,"175 S 3rd St #820, Columbus, OH 43215",,,,
TRUE,Navigator Management Partners,https://avaap.com/,https://avaap.com/careers/careers-detail/#open-positions,"1400 Goodale Blvd., Suite 100, Columbus, OH 43212",,,,
FALSE,OSA Technology Partners,https://osa.io/,https://osa.io/careers/,"11 E. Gay Street, Suite 200 Columbus, OH 43215",,,,
FALSE,Cluster Software Inc,http://www.clustersoft.com/,http://www.clustersoft.com/openings.html,"2674 Billingsley Rd, Columbus, OH 43235",,,,
FALSE,Futurety,https://futurety.com/,https://futurety.com/our-team/careers/,"3260 W. Henderson Rd. Suite 100, Columbus, OH 43220",,,,
FALSE,Perpetual Progress,https://www.perpetualprogress.com/,https://www.perpetualprogress.com/careers/,"5165 Emerald Parkway, Suite 110 Dublin, OH 43017",19 min,,,
TRUE,Bread Financial,https://www.breadfinancial.com/,https://careers.breadfinancial.com/us/en?_gl=1*v3cpvl*_gcl_au*MTQ1Njk1NDI4OS4xNzQxNDgyNzc5,"3095 Loyalty Circle, Columbus, OH, United States, Ohio",,,,
